,RandomForest,K-nearest-neighbor,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_svm_smote,0.6388888888888888,0.5151515151515151,0.6067415730337079,0.625,0.6493506493506493,0.5217391304347826,0.5970149253731343,0.608695652173913
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_adasyn,0.5352112676056338,0.6301369863013698,0.6588235294117648,0.5454545454545455,0.6585365853658536,0.6511627906976745,0.5714285714285714,0.5633802816901409
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_smote_borderline,0.5633802816901409,0.5405405405405405,0.37499999999999994,0.5217391304347826,0.6233766233766234,0.47887323943661975,0.588235294117647,0.5753424657534247
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_none,0.6285714285714286,0.626865671641791,0.5357142857142858,0.4848484848484849,0.5538461538461538,0.6129032258064516,0.606060606060606,0.619718309859155
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote,0.619718309859155,0.6301369863013698,0.675,0.5846153846153846,0.547945205479452,0.6835443037974683,0.606060606060606,0.611111111111111
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_svm_smote,0.619718309859155,0.6753246753246753,0.6352941176470589,0.6388888888888888,0.5333333333333333,0.7000000000000001,0.619718309859155,0.647887323943662
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_adasyn,0.6216216216216216,0.6410256410256411,0.4507042253521127,0.5633802816901409,0.5641025641025641,0.6829268292682927,0.626865671641791,0.6027397260273972
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote_borderline,0.6388888888888888,0.6486486486486486,0.6593406593406593,0.5970149253731343,0.6075949367088607,0.6590909090909092,0.6176470588235293,0.6388888888888888
remove_outliers_isolation_forest + features_selection_rfe + oversampling_none,0.6571428571428571,0.5079365079365079,0.65,0.6956521739130436,0.5507246376811593,0.576271186440678,0.5846153846153846,0.6
remove_outliers_isolation_forest + features_selection_rfe + oversampling_smote,0.6315789473684211,0.6301369863013698,0.6419753086419753,0.608695652173913,0.6315789473684211,0.6666666666666666,0.6285714285714286,0.5633802816901409
remove_outliers_isolation_forest + features_selection_rfe + oversampling_svm_smote,0.676056338028169,0.5675675675675675,0.6666666666666667,0.676056338028169,0.675,0.6493506493506493,0.588235294117647,0.6301369863013698
remove_outliers_isolation_forest + features_selection_rfe + oversampling_adasyn,0.5753424657534247,0.6301369863013698,0.6588235294117648,0.5507246376811593,0.674698795180723,0.6666666666666666,0.619718309859155,0.5633802816901409
remove_outliers_isolation_forest + features_selection_rfe + oversampling_smote_borderline,0.5833333333333333,0.5569620253164557,0.5765765765765766,0.5217391304347826,0.6582278481012659,0.48275862068965525,0.591549295774648,0.588235294117647
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_none,0.626865671641791,0.6315789473684211,0.488888888888889,0.5757575757575757,0.619718309859155,0.5614035087719298,0.6470588235294118,0.6176470588235293
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_smote,0.6666666666666666,0.65,0.45714285714285713,0.5937499999999999,0.6419753086419753,0.675,0.6470588235294118,0.6176470588235293
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_svm_smote,0.6956521739130436,0.6329113924050633,0.6741573033707865,0.603174603174603,0.65,0.675,0.6376811594202899,0.647887323943662
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_adasyn,0.7397260273972601,0.6829268292682927,0.5607476635514019,0.6363636363636364,0.6341463414634146,0.6506024096385543,0.6376811594202899,0.6857142857142857
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_smote_borderline,0.676056338028169,0.7126436781609196,0.4918032786885245,0.5945945945945945,0.617283950617284,0.6588235294117648,0.6285714285714286,0.647887323943662
remove_outliers_zscore + features_selection_none + oversampling_none,0.603174603174603,0.6301369863013698,0.6410256410256411,0.4615384615384615,0.5970149253731343,0.634920634920635,0.6376811594202899,0.626865671641791
remove_outliers_zscore + features_selection_none + oversampling_smote,0.6769230769230768,0.6666666666666667,0.5866666666666667,0.6388888888888888,0.5925925925925927,0.6913580246913581,0.6285714285714286,0.6153846153846153
remove_outliers_zscore + features_selection_none + oversampling_svm_smote,0.626865671641791,0.7088607594936709,0.6373626373626374,0.5970149253731343,0.6153846153846154,0.6923076923076923,0.6376811594202899,0.6027397260273972
remove_outliers_zscore + features_selection_none + oversampling_adasyn,0.7164179104477612,0.6913580246913581,0.43678160919540227,0.5573770491803278,0.6,0.6913580246913581,0.608695652173913,0.647887323943662
remove_outliers_zscore + features_selection_none + oversampling_smote_borderline,0.6865671641791045,0.674698795180723,0.45333333333333337,0.6216216216216216,0.6075949367088607,0.6588235294117648,0.6285714285714286,0.647887323943662
remove_outliers_zscore + features_selection_extratrees + oversampling_none,0.5757575757575757,0.456140350877193,0.5974025974025974,0.5671641791044776,0.5625,0.05555555555555556,0.5757575757575757,0.626865671641791
remove_outliers_zscore + features_selection_extratrees + oversampling_smote,0.5671641791044776,0.5454545454545455,0.5853658536585366,0.608695652173913,0.6153846153846154,0.48387096774193544,0.6,0.6285714285714286
remove_outliers_zscore + features_selection_extratrees + oversampling_svm_smote,0.608695652173913,0.46875000000000006,0.5714285714285714,0.5671641791044776,0.6410256410256411,0.4923076923076923,0.608695652173913,0.6363636363636364
remove_outliers_zscore + features_selection_extratrees + oversampling_adasyn,0.5671641791044776,0.4857142857142857,0.608695652173913,0.5757575757575757,0.6233766233766234,0.5128205128205128,0.588235294117647,0.588235294117647
remove_outliers_zscore + features_selection_extratrees + oversampling_smote_borderline,0.608695652173913,0.48648648648648646,0.6075949367088607,0.5074626865671641,0.6486486486486486,0.5,0.588235294117647,0.626865671641791
remove_outliers_zscore + features_selection_mutual_information + oversampling_none,0.5625,0.5970149253731343,0.603174603174603,0.39999999999999997,0.53125,0.5806451612903226,0.606060606060606,0.6865671641791045
remove_outliers_zscore + features_selection_mutual_information + oversampling_smote,0.6388888888888888,0.64,0.6666666666666666,0.5633802816901409,0.6233766233766234,0.7000000000000001,0.6571428571428571,0.608695652173913
remove_outliers_zscore + features_selection_mutual_information + oversampling_svm_smote,0.6285714285714286,0.619718309859155,0.6593406593406593,0.5294117647058822,0.5714285714285715,0.7088607594936709,0.626865671641791,0.6285714285714286
remove_outliers_zscore + features_selection_mutual_information + oversampling_adasyn,0.6285714285714286,0.6410256410256411,0.5937499999999999,0.5797101449275363,0.5789473684210527,0.6835443037974683,0.611111111111111,0.6388888888888888
remove_outliers_zscore + features_selection_mutual_information + oversampling_smote_borderline,0.588235294117647,0.5142857142857142,0.6117647058823529,0.608695652173913,0.6410256410256411,0.4931506849315068,0.5797101449275363,0.6571428571428571
remove_outliers_zscore + features_selection_rfe + oversampling_none,0.5714285714285714,0.5396825396825397,0.634920634920635,0.626865671641791,0.6,0.576271186440678,0.6666666666666666,0.5714285714285714
remove_outliers_zscore + features_selection_rfe + oversampling_smote,0.6027397260273972,0.5846153846153846,0.6666666666666667,0.5757575757575757,0.64,0.6506024096385543,0.6666666666666666,0.611111111111111
remove_outliers_zscore + features_selection_rfe + oversampling_svm_smote,0.608695652173913,0.608695652173913,0.6585365853658536,0.5757575757575757,0.6666666666666667,0.6666666666666666,0.675,0.619718309859155
remove_outliers_zscore + features_selection_rfe + oversampling_adasyn,0.6,0.6388888888888888,0.6666666666666666,0.6363636363636364,0.6823529411764706,0.6588235294117648,0.6666666666666667,0.5714285714285714
remove_outliers_zscore + features_selection_rfe + oversampling_smote_borderline,0.5714285714285714,0.5797101449275363,0.6301369863013698,0.53125,0.6585365853658536,0.6329113924050633,0.675,0.611111111111111
remove_outliers_zscore + features_selection_variance_threshold + oversampling_none,0.5625,0.6301369863013698,0.6666666666666666,0.46875000000000006,0.5970149253731343,0.634920634920635,0.6376811594202899,0.626865671641791
remove_outliers_zscore + features_selection_variance_threshold + oversampling_smote,0.676470588235294,0.7160493827160495,0.5979381443298969,0.5625,0.605263157894737,0.7000000000000001,0.6376811594202899,0.626865671641791
remove_outliers_zscore + features_selection_variance_threshold + oversampling_svm_smote,0.5846153846153846,0.6666666666666666,0.5952380952380952,0.5396825396825397,0.5897435897435898,0.7088607594936709,0.6376811594202899,0.6153846153846153
remove_outliers_zscore + features_selection_variance_threshold + oversampling_adasyn,0.6969696969696969,0.7073170731707318,0.3389830508474576,0.608695652173913,0.6075949367088607,0.7000000000000001,0.6285714285714286,0.6376811594202899
remove_outliers_zscore + features_selection_variance_threshold + oversampling_smote_borderline,0.6571428571428571,0.6585365853658536,0.5569620253164557,0.5588235294117646,0.6,0.6590909090909092,0.6176470588235293,0.606060606060606
remove_outliers_iqr + features_selection_none + oversampling_none,0.6153846153846153,0.6388888888888888,0.64,0.48387096774193544,0.5454545454545455,0.25000000000000006,0.64,0.6229508196721311
remove_outliers_iqr + features_selection_none + oversampling_smote,0.6388888888888888,0.689655172413793,0.6117647058823529,0.625,0.5925925925925927,0.6590909090909092,0.605263157894737,0.5970149253731343
remove_outliers_iqr + features_selection_none + oversampling_svm_smote,0.6666666666666666,0.6835443037974683,0.5833333333333333,0.45161290322580644,0.591549295774648,0.4912280701754386,0.6216216216216216,0.606060606060606
remove_outliers_iqr + features_selection_none + oversampling_adasyn,0.72,0.6888888888888889,0.5531914893617021,0.3214285714285714,0.6024096385542168,0.6590909090909092,0.605263157894737,0.6756756756756757
remove_outliers_iqr + features_selection_none + oversampling_smote_borderline,0.647887323943662,0.7058823529411764,0.5185185185185185,0.6666666666666666,0.5925925925925927,0.6666666666666665,0.6315789473684211,0.6956521739130436
remove_outliers_iqr + features_selection_extratrees + oversampling_none,0.5161290322580645,0.26086956521739124,0.6136363636363636,0.37037037037037035,0.4918032786885245,0.0,0.619718309859155,0.48275862068965525
remove_outliers_iqr + features_selection_extratrees + oversampling_smote,0.647887323943662,0.4545454545454545,0.6067415730337079,0.5483870967741936,0.5897435897435898,0.5128205128205128,0.6578947368421052,0.588235294117647
remove_outliers_iqr + features_selection_extratrees + oversampling_svm_smote,0.5373134328358209,0.48387096774193544,0.6136363636363636,0.5151515151515151,0.5507246376811593,0.523076923076923,0.6216216216216216,0.5671641791044776
remove_outliers_iqr + features_selection_extratrees + oversampling_adasyn,0.6301369863013698,0.5151515151515151,0.6216216216216216,0.5633802816901409,0.6,0.49350649350649345,0.6578947368421052,0.6486486486486486
remove_outliers_iqr + features_selection_extratrees + oversampling_smote_borderline,0.619718309859155,0.5,0.6352941176470589,0.611111111111111,0.5822784810126581,0.5135135135135135,0.6582278481012659,0.619718309859155
