,RandomForest,K-nearest-neighbor,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_adasyn,0.5277777777777778,0.6052631578947368,0.56,0.5806451612903226,0.574468085106383,0.5490196078431373,0.5714285714285714,0.5555555555555556
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_smote_borderline,0.5555555555555556,0.5128205128205128,0.6923076923076923,0.5294117647058824,0.5714285714285714,0.4722222222222222,0.6060606060606061,0.5526315789473685
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_none,0.6285714285714286,0.65625,0.7142857142857143,0.5161290322580645,0.6,0.7037037037037037,0.6451612903225806,0.6111111111111112
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote,0.6111111111111112,0.6052631578947368,0.6,0.6333333333333333,0.5263157894736842,0.6136363636363636,0.6451612903225806,0.5945945945945946
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_svm_smote,0.6111111111111112,0.6190476190476191,0.54,0.6216216216216216,0.5,0.6222222222222222,0.6111111111111112,0.6388888888888888
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_adasyn,0.5897435897435898,0.5813953488372093,0.4444444444444444,0.5555555555555556,0.5116279069767442,0.5957446808510638,0.65625,0.5789473684210527
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote_borderline,0.6216216216216216,0.6153846153846154,0.5357142857142857,0.625,0.5454545454545454,0.5471698113207547,0.6363636363636364,0.6216216216216216
remove_outliers_isolation_forest + features_selection_rfe + oversampling_none,0.6571428571428571,0.5714285714285714,0.5777777777777777,0.7058823529411765,0.5588235294117647,0.7083333333333334,0.6333333333333333,0.6
remove_outliers_isolation_forest + features_selection_rfe + oversampling_smote,0.5853658536585366,0.6052631578947368,0.5652173913043478,0.6176470588235294,0.5853658536585366,0.6046511627906976,0.6285714285714286,0.5555555555555556
remove_outliers_isolation_forest + features_selection_rfe + oversampling_svm_smote,0.6666666666666666,0.5384615384615384,0.5576923076923077,0.6666666666666666,0.6,0.5952380952380952,0.6060606060606061,0.6052631578947368
remove_outliers_isolation_forest + features_selection_rfe + oversampling_adasyn,0.5526315789473685,0.6052631578947368,0.56,0.5588235294117647,0.5833333333333334,0.5714285714285714,0.6111111111111112,0.5555555555555556
remove_outliers_isolation_forest + features_selection_rfe + oversampling_smote_borderline,0.5675675675675675,0.5,0.42105263157894735,0.5294117647058824,0.5909090909090909,0.6086956521739131,0.5833333333333334,0.6060606060606061
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_none,0.65625,0.5853658536585366,0.4,0.6129032258064516,0.6111111111111112,0.7272727272727273,0.6666666666666666,0.6363636363636364
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_smote,0.6764705882352942,0.5777777777777777,0.45714285714285713,0.6551724137931034,0.5652173913043478,0.6,0.6666666666666666,0.6363636363636364
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_svm_smote,0.7058823529411765,0.5681818181818182,0.5555555555555556,0.6785714285714286,0.5777777777777777,0.6,0.6470588235294118,0.6388888888888888
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_adasyn,0.7105263157894737,0.5957446808510638,0.4166666666666667,0.6774193548387096,0.5531914893617021,0.5625,0.6470588235294118,0.6857142857142857
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_smote_borderline,0.6666666666666666,0.5961538461538461,0.5769230769230769,0.5641025641025641,0.5434782608695652,0.56,0.6285714285714286,0.6388888888888888
remove_outliers_zscore + features_selection_none + oversampling_none,0.6785714285714286,0.6052631578947368,0.5813953488372093,0.5,0.625,0.7142857142857143,0.6470588235294118,0.65625
remove_outliers_zscore + features_selection_none + oversampling_smote,0.7333333333333333,0.5869565217391305,0.55,0.6216216216216216,0.5217391304347826,0.6086956521739131,0.6285714285714286,0.6666666666666666
remove_outliers_zscore + features_selection_none + oversampling_svm_smote,0.65625,0.6363636363636364,0.5178571428571429,0.625,0.5581395348837209,0.627906976744186,0.6470588235294118,0.5789473684210527
remove_outliers_zscore + features_selection_none + oversampling_adasyn,0.75,0.6086956521739131,0.36538461538461536,0.6538461538461539,0.5333333333333333,0.6086956521739131,0.6176470588235294,0.6388888888888888
remove_outliers_zscore + features_selection_none + oversampling_smote_borderline,0.71875,0.5833333333333334,0.425,0.5897435897435898,0.5454545454545454,0.56,0.6285714285714286,0.6388888888888888
remove_outliers_zscore + features_selection_extratrees + oversampling_none,0.6129032258064516,0.5909090909090909,0.5476190476190477,0.59375,0.6206896551724138,1.0,0.6129032258064516,0.65625
remove_outliers_zscore + features_selection_extratrees + oversampling_smote,0.59375,0.5806451612903226,0.5106382978723404,0.6176470588235294,0.5581395348837209,0.5555555555555556,0.6,0.6285714285714286
remove_outliers_zscore + features_selection_extratrees + oversampling_svm_smote,0.6176470588235294,0.5172413793103449,0.5714285714285714,0.59375,0.5813953488372093,0.5333333333333333,0.6176470588235294,0.6774193548387096
remove_outliers_zscore + features_selection_extratrees + oversampling_adasyn,0.59375,0.4857142857142857,0.6176470588235294,0.6129032258064516,0.5714285714285714,0.46511627906976744,0.6060606060606061,0.6060606060606061
remove_outliers_zscore + features_selection_extratrees + oversampling_smote_borderline,0.6176470588235294,0.46153846153846156,0.5454545454545454,0.53125,0.6153846153846154,0.4864864864864865,0.6060606060606061,0.65625
remove_outliers_zscore + features_selection_mutual_information + oversampling_none,0.6206896551724138,0.625,0.6785714285714286,0.48,0.5862068965517241,0.6666666666666666,0.6451612903225806,0.71875
remove_outliers_zscore + features_selection_mutual_information + oversampling_smote,0.6216216216216216,0.6,0.6046511627906976,0.5555555555555556,0.5714285714285714,0.6222222222222222,0.6571428571428571,0.6176470588235294
remove_outliers_zscore + features_selection_mutual_information + oversampling_svm_smote,0.6285714285714286,0.6111111111111112,0.5357142857142857,0.5454545454545454,0.5238095238095238,0.6363636363636364,0.65625,0.6285714285714286
remove_outliers_zscore + features_selection_mutual_information + oversampling_adasyn,0.6285714285714286,0.5813953488372093,0.6551724137931034,0.5882352941176471,0.5365853658536586,0.6136363636363636,0.5945945945945946,0.6216216216216216
remove_outliers_zscore + features_selection_mutual_information + oversampling_smote_borderline,0.6060606060606061,0.5142857142857142,0.52,0.6176470588235294,0.5813953488372093,0.47368421052631576,0.5882352941176471,0.6571428571428571
remove_outliers_zscore + features_selection_rfe + oversampling_none,0.5714285714285714,0.6071428571428571,0.7142857142857143,0.65625,0.6,0.7083333333333334,0.6764705882352942,0.5714285714285714
remove_outliers_zscore + features_selection_rfe + oversampling_smote,0.5789473684210527,0.6333333333333333,0.5869565217391305,0.6129032258064516,0.6,0.5625,0.625,0.5945945945945946
remove_outliers_zscore + features_selection_rfe + oversampling_svm_smote,0.6176470588235294,0.6176470588235294,0.574468085106383,0.6129032258064516,0.5869565217391305,0.5714285714285714,0.6,0.6111111111111112
remove_outliers_zscore + features_selection_rfe + oversampling_adasyn,0.6,0.6216216216216216,0.5714285714285714,0.6774193548387096,0.58,0.56,0.5869565217391305,0.5714285714285714
remove_outliers_zscore + features_selection_rfe + oversampling_smote_borderline,0.5714285714285714,0.5882352941176471,0.6052631578947368,0.5862068965517241,0.574468085106383,0.5681818181818182,0.6,0.5945945945945946
remove_outliers_zscore + features_selection_variance_threshold + oversampling_none,0.6206896551724138,0.6052631578947368,0.6046511627906976,0.5172413793103449,0.625,0.7142857142857143,0.6470588235294118,0.65625
remove_outliers_zscore + features_selection_variance_threshold + oversampling_smote,0.696969696969697,0.6304347826086957,0.46774193548387094,0.6206896551724138,0.5609756097560976,0.6222222222222222,0.6470588235294118,0.65625
remove_outliers_zscore + features_selection_variance_threshold + oversampling_svm_smote,0.6333333333333333,0.625,0.5102040816326531,0.6071428571428571,0.5348837209302325,0.6363636363636364,0.6470588235294118,0.6666666666666666
remove_outliers_zscore + features_selection_variance_threshold + oversampling_adasyn,0.7419354838709677,0.6170212765957447,0.4166666666666667,0.6176470588235294,0.5454545454545454,0.6222222222222222,0.6285714285714286,0.6470588235294118
remove_outliers_zscore + features_selection_variance_threshold + oversampling_smote_borderline,0.6571428571428571,0.574468085106383,0.5,0.5757575757575758,0.5333333333333333,0.5471698113207547,0.6363636363636364,0.6451612903225806
remove_outliers_iqr + features_selection_none + oversampling_none,0.6666666666666666,0.6216216216216216,0.6,0.5555555555555556,0.5806451612903226,0.46153846153846156,0.6,0.7307692307692307
remove_outliers_iqr + features_selection_none + oversampling_smote,0.6216216216216216,0.5769230769230769,0.52,0.6896551724137931,0.5217391304347826,0.5471698113207547,0.5609756097560976,0.625
remove_outliers_iqr + features_selection_none + oversampling_svm_smote,0.7096774193548387,0.6136363636363636,0.5675675675675675,0.5185185185185185,0.5833333333333334,0.6363636363636364,0.5897435897435898,0.6451612903225806
remove_outliers_iqr + features_selection_none + oversampling_adasyn,0.675,0.5636363636363636,0.4406779661016949,0.42857142857142855,0.5208333333333334,0.5471698113207547,0.5609756097560976,0.6410256410256411
remove_outliers_iqr + features_selection_none + oversampling_smote_borderline,0.6388888888888888,0.6,0.45652173913043476,0.625,0.5217391304347826,0.5454545454545454,0.5853658536585366,0.7058823529411765
remove_outliers_iqr + features_selection_extratrees + oversampling_none,0.5925925925925926,0.5454545454545454,0.5094339622641509,0.5263157894736842,0.5769230769230769,0.0,0.6111111111111112,0.6086956521739131
remove_outliers_iqr + features_selection_extratrees + oversampling_smote,0.6388888888888888,0.4838709677419355,0.5,0.6296296296296297,0.5348837209302325,0.46511627906976744,0.6097560975609756,0.6060606060606061
remove_outliers_iqr + features_selection_extratrees + oversampling_svm_smote,0.5625,0.5555555555555556,0.5094339622641509,0.5483870967741935,0.5588235294117647,0.5666666666666667,0.5897435897435898,0.59375
remove_outliers_iqr + features_selection_extratrees + oversampling_adasyn,0.6052631578947368,0.5483870967741935,0.5897435897435898,0.5555555555555556,0.5333333333333333,0.4523809523809524,0.6097560975609756,0.6153846153846154
remove_outliers_iqr + features_selection_extratrees + oversampling_smote_borderline,0.6111111111111112,0.5517241379310345,0.54,0.5945945945945946,0.5227272727272727,0.48717948717948717,0.5909090909090909,0.6111111111111112
remove_outliers_iqr + features_selection_mutual_information + oversampling_none,0.6153846153846154,0.6470588235294118,0.6136363636363636,0.5652173913043478,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.5666666666666667
remove_outliers_iqr + features_selection_mutual_information + oversampling_smote,0.5641025641025641,0.5483870967741935,0.5238095238095238,0.5833333333333334,0.5227272727272727,0.5,0.6097560975609756,0.5675675675675675
remove_outliers_iqr + features_selection_mutual_information + oversampling_svm_smote,0.5675675675675675,0.5277777777777778,0.5405405405405406,0.5925925925925926,0.5142857142857142,0.5,0.5853658536585366,0.5384615384615384
remove_outliers_iqr + features_selection_mutual_information + oversampling_adasyn,0.5526315789473685,0.5428571428571428,0.5348837209302325,0.5853658536585366,0.5227272727272727,0.5,0.6097560975609756,0.5789473684210527
remove_outliers_iqr + features_selection_mutual_information + oversampling_smote_borderline,0.5833333333333334,0.5869565217391305,0.5344827586206896,0.5483870967741935,0.5333333333333333,0.5777777777777777,0.6428571428571429,0.5897435897435898
remove_outliers_iqr + features_selection_rfe + oversampling_none,0.5416666666666666,0.5714285714285714,0.6451612903225806,0.6111111111111112,0.5769230769230769,0.6842105263157895,0.5833333333333334,0.5909090909090909
remove_outliers_iqr + features_selection_rfe + oversampling_smote,0.5294117647058824,0.5588235294117647,0.5428571428571428,0.5384615384615384,0.5476190476190477,0.5,0.575,0.5
remove_outliers_iqr + features_selection_rfe + oversampling_svm_smote,0.5483870967741935,0.5483870967741935,0.5806451612903226,0.5882352941176471,0.5714285714285714,0.5,0.5833333333333334,0.5428571428571428
remove_outliers_iqr + features_selection_rfe + oversampling_adasyn,0.5675675675675675,0.5428571428571428,0.4857142857142857,0.6388888888888888,0.5365853658536586,0.5,0.6,0.5675675675675675
remove_outliers_iqr + features_selection_rfe + oversampling_smote_borderline,0.5555555555555556,0.5588235294117647,0.5151515151515151,0.5384615384615384,0.5142857142857142,0.5,0.5909090909090909,0.5333333333333333
remove_outliers_iqr + features_selection_variance_threshold + oversampling_none,0.6428571428571429,0.6216216216216216,0.4067796610169492,0.5833333333333334,0.5806451612903226,0.46153846153846156,0.6,0.7307692307692307
remove_outliers_iqr + features_selection_variance_threshold + oversampling_smote,0.6285714285714286,0.5957446808510638,0.627906976744186,0.56,0.5319148936170213,0.5576923076923077,0.5609756097560976,0.5666666666666667
remove_outliers_iqr + features_selection_variance_threshold + oversampling_svm_smote,0.6666666666666666,0.5957446808510638,0.5483870967741935,0.5142857142857142,0.5641025641025641,0.6333333333333333,0.575,0.6216216216216216
remove_outliers_iqr + features_selection_variance_threshold + oversampling_adasyn,0.6052631578947368,0.56,0.5102040816326531,0.6285714285714286,0.5106382978723404,0.5357142857142857,0.5813953488372093,0.6857142857142857
remove_outliers_iqr + features_selection_variance_threshold + oversampling_smote_borderline,0.65,0.6078431372549019,0.5428571428571428,0.5151515151515151,0.5111111111111111,0.5454545454545454,0.5714285714285714,0.7058823529411765
remove_outliers_lof + features_selection_none + oversampling_none,0.6,0.6153846153846154,0.5,0.5161290322580645,0.5652173913043478,0.7307692307692307,0.6896551724137931,0.5945945945945946
remove_outliers_lof + features_selection_none + oversampling_smote,0.6451612903225806,0.5952380952380952,0.5,0.5806451612903226,0.5853658536585366,0.6486486486486487,0.6666666666666666,0.6
remove_outliers_lof + features_selection_none + oversampling_svm_smote,0.6176470588235294,0.5869565217391305,0.5357142857142857,0.6111111111111112,0.5681818181818182,0.5853658536585366,0.6666666666666666,0.6052631578947368
remove_outliers_lof + features_selection_none + oversampling_adasyn,0.65625,0.6046511627906976,0.5333333333333333,0.5882352941176471,0.5476190476190477,0.6285714285714286,0.6666666666666666,0.6052631578947368
remove_outliers_lof + features_selection_none + oversampling_smote_borderline,0.6666666666666666,0.6,0.5,0.5945945945945946,0.5454545454545454,0.5909090909090909,0.6551724137931034,0.5833333333333334
remove_outliers_lof + features_selection_extratrees + oversampling_none,0.59375,0.5833333333333334,0.6060606060606061,0.5675675675675675,0.6428571428571429,0.5714285714285714,0.6296296296296297,0.5675675675675675
remove_outliers_lof + features_selection_extratrees + oversampling_smote,0.5757575757575758,0.5151515151515151,0.6666666666666666,0.5405405405405406,0.5675675675675675,0.5384615384615384,0.6451612903225806,0.6176470588235294
remove_outliers_lof + features_selection_extratrees + oversampling_svm_smote,0.59375,0.5384615384615384,0.5,0.6,0.5128205128205128,0.47368421052631576,0.59375,0.5526315789473685
remove_outliers_lof + features_selection_extratrees + oversampling_adasyn,0.5757575757575758,0.5,0.5333333333333333,0.5882352941176471,0.5945945945945946,0.45714285714285713,0.6060606060606061,0.5641025641025641
remove_outliers_lof + features_selection_extratrees + oversampling_smote_borderline,0.5757575757575758,0.5428571428571428,0.5675675675675675,0.5625,0.5789473684210527,0.45714285714285713,0.5882352941176471,0.5675675675675675
remove_outliers_lof + features_selection_mutual_information + oversampling_none,0.625,0.6129032258064516,0.5294117647058824,0.5428571428571428,0.6206896551724138,0.7037037037037037,0.6538461538461539,0.5675675675675675
remove_outliers_lof + features_selection_mutual_information + oversampling_smote,0.6111111111111112,0.5641025641025641,0.5098039215686274,0.5666666666666667,0.5263157894736842,0.6136363636363636,0.6666666666666666,0.5945945945945946
remove_outliers_lof + features_selection_mutual_information + oversampling_svm_smote,0.5714285714285714,0.5641025641025641,0.631578947368421,0.59375,0.5128205128205128,0.625,0.6428571428571429,0.5588235294117647
remove_outliers_lof + features_selection_mutual_information + oversampling_adasyn,0.5945945945945946,0.5526315789473685,0.5319148936170213,0.5294117647058824,0.5263157894736842,0.6578947368421053,0.6451612903225806,0.5641025641025641
remove_outliers_lof + features_selection_mutual_information + oversampling_smote_borderline,0.5714285714285714,0.5714285714285714,0.5357142857142857,0.5333333333333333,0.5,0.5686274509803921,0.6451612903225806,0.5277777777777778
remove_outliers_lof + features_selection_rfe + oversampling_none,0.5428571428571428,0.6206896551724138,0.6666666666666666,0.5882352941176471,0.5833333333333334,0.68,0.6296296296296297,0.5789473684210527
remove_outliers_lof + features_selection_rfe + oversampling_smote,0.5526315789473685,0.5555555555555556,0.6136363636363636,0.5526315789473685,0.5853658536585366,0.5714285714285714,0.6060606060606061,0.5675675675675675
remove_outliers_lof + features_selection_rfe + oversampling_svm_smote,0.5526315789473685,0.5945945945945946,0.6046511627906976,0.6060606060606061,0.5853658536585366,0.5853658536585366,0.6060606060606061,0.5526315789473685
remove_outliers_lof + features_selection_rfe + oversampling_adasyn,0.5526315789473685,0.6363636363636364,0.6410256410256411,0.5588235294117647,0.5853658536585366,0.5897435897435898,0.5806451612903226,0.5526315789473685
remove_outliers_lof + features_selection_rfe + oversampling_smote_borderline,0.5675675675675675,0.6052631578947368,0.625,0.5675675675675675,0.5853658536585366,0.5897435897435898,0.59375,0.5526315789473685
remove_outliers_lof + features_selection_variance_threshold + oversampling_none,0.6333333333333333,0.6153846153846154,0.5,0.5714285714285714,0.5652173913043478,0.7307692307692307,0.6896551724137931,0.5945945945945946
remove_outliers_lof + features_selection_variance_threshold + oversampling_smote,0.6551724137931034,0.6222222222222222,0.5555555555555556,0.6764705882352942,0.5454545454545454,0.6046511627906976,0.6333333333333333,0.6052631578947368
remove_outliers_lof + features_selection_variance_threshold + oversampling_svm_smote,0.6451612903225806,0.5869565217391305,0.5490196078431373,0.6153846153846154,0.5652173913043478,0.5909090909090909,0.6774193548387096,0.5833333333333334
remove_outliers_lof + features_selection_variance_threshold + oversampling_adasyn,0.6666666666666666,0.6046511627906976,0.7,0.6363636363636364,0.5263157894736842,0.6410256410256411,0.6666666666666666,0.6486486486486487
remove_outliers_lof + features_selection_variance_threshold + oversampling_smote_borderline,0.625,0.6,0.5714285714285714,0.5675675675675675,0.55,0.5777777777777777,0.6451612903225806,0.6060606060606061
