,RandomForest,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost,K-nearest-neighbor
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_svm_smote,0.9053156146179403,0.9005847953216375,0.8679138321995465,0.8993816750983697,0.8909447715166807,0.8883495145631068,0.8929765886287625,0.8922222222222222
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_adasyn,0.8920454545454545,0.90217998882057,0.8726858444887496,0.8970588235294118,0.8937482478273059,0.8861305990286023,0.890888638920135,0.8676639815880322
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_smote_borderline,0.893556627873971,0.8745603751465416,0.8627113786185152,0.8984108967082861,0.8859022018873319,0.8870270270270271,0.8862545865086084,0.8694652098907417
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_none,0.9166438917737085,0.9231604670105892,0.8800224782242204,0.9266430324515953,0.9030860855441257,0.8750681942171306,0.9124726477024071,0.8869656438499868
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote,0.9000844356881508,0.9006211180124224,0.8667048054919909,0.9031710079275198,0.9006954102920723,0.8841430859583556,0.9031180400890868,0.8876001104667218
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_svm_smote,0.9120177629752984,0.9076487252124645,0.8770235728486224,0.9190238491403216,0.8960634381195128,0.8842218632202477,0.913716814159292,0.8803827751196172
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_adasyn,0.9010740531373658,0.899681989014166,0.875,0.9016018306636155,0.8961001992598918,0.8733168452871668,0.9048423423423424,0.8757870635374929
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote_borderline,0.9074074074074074,0.9021922428330522,0.8712250712250712,0.8939697056301801,0.883961992513677,0.8815826135413765,0.9080234833659491,0.8700597099800967
remove_outliers_isolation_forest + features_selection_rfe + oversampling_none,0.9140818007136974,0.9190657251493753,0.8589377498572244,0.9273224043715848,0.9078167115902965,0.8713466266047528,0.9164391043145822,
remove_outliers_isolation_forest + features_selection_rfe + oversampling_smote,0.9149463253509497,0.9189789123196449,0.8775682521812552,0.9287686361126449,0.894304335505809,0.878021978021978,0.9166437414030261,
remove_outliers_isolation_forest + features_selection_rfe + oversampling_svm_smote,0.9103602345713488,0.9187986651835374,0.8572256009267304,0.9207419898819562,0.903008152937869,0.8774051676745466,0.9128745837957825,
remove_outliers_isolation_forest + features_selection_rfe + oversampling_adasyn,0.9101092131055727,0.9182249511582473,0.8596237337192474,0.9154339938598939,0.8935317687464225,0.8590641636312694,0.9110556940980882,
remove_outliers_isolation_forest + features_selection_rfe + oversampling_smote_borderline,0.9074125874125873,0.90770533446232,0.8484671532846716,0.9163168205989364,0.8901700778322282,0.8628428927680797,0.9156024430871738,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_none,0.9177043854899837,0.9116432700247729,0.8772127001966845,0.9281617044523354,0.8891792995295348,0.8618161308516638,0.9178007621121393,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_smote,0.9151414309484193,0.9123867069486404,0.8648493543758967,0.9242675511332229,0.9018743109151047,0.8627450980392157,0.9177631578947368,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_svm_smote,0.9031347077096865,0.912,0.8595327372368041,0.9225174825174826,0.8937360178970917,0.8419224088013897,0.9120665742024965,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_adasyn,0.911129800953182,0.9089887640449437,0.8545034642032333,0.9205113952195664,0.8976022566995769,0.8423488573908012,0.9152915291529155,
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_smote_borderline,0.9049235993208828,0.9100470523110988,0.8629671574178934,0.9200887902330744,0.8876852907639681,0.837155297532656,0.9160220994475138,
remove_outliers_zscore + features_selection_none + oversampling_none,0.9227830832196453,0.91614313029227,0.8861180382377389,0.9295466957946477,0.8884154460719041,0.8232189973614775,0.9185667752442997,
remove_outliers_zscore + features_selection_none + oversampling_smote,0.9185632026323005,0.9125622578859989,0.8741610738255032,0.9259565097715386,0.9000825763831544,0.8519671667138409,0.9167120304844855,
remove_outliers_zscore + features_selection_none + oversampling_svm_smote,0.9207920792079206,0.9069506726457399,0.8666858623668299,0.9218793438976925,0.8940582959641254,0.8171344165435745,0.9153846153846154,
remove_outliers_zscore + features_selection_none + oversampling_adasyn,0.9130193905817175,0.8971238938053098,0.8800223214285715,0.9218793438976925,0.8905109489051094,0.8440313679930294,0.9140667761357416,
remove_outliers_zscore + features_selection_none + oversampling_smote_borderline,0.9145867997781475,0.9043478260869565,0.8762224084939928,0.9214484679665738,0.8939860139860138,0.8298437039221468,0.9130792432136001,
