course,n_assignment,n_posts,n_read,n_quiz,n_quiz_a,n_quiz_s,total_time_assignment,total_time_quiz,total_time_forum,mark
111,13,3,0,0,0,0,7243,0,1723,FAIL
111,13,4,0,0,0,0,3336,0,3394,PASS
111,0,0,0,0,0,0,283,0,1402,FAIL
111,13,7,0,0,0,0,1241,0,3413,PASS
111,13,6,0,0,0,0,4730,0,3157,PASS
111,13,5,0,0,0,0,1619,0,4774,PASS
111,13,8,0,0,0,0,1655,0,6033,PASS
111,9,8,0,0,0,0,732,0,2035,PASS
111,13,7,0,0,0,0,1624,0,0,PASS
111,13,7,0,0,0,0,1438,0,2239,FAIL
111,6,6,0,0,0,0,1928,0,1691,FAIL
111,10,2,0,0,0,0,842,0,2670,PASS
111,13,4,0,0,0,0,2069,0,1221,FAIL
