course,n_assignment,n_posts,n_read,n_quiz,n_quiz_a,n_quiz_s,total_time_assignment,total_time_quiz,total_time_forum,mark
218,10,1,0,1,1,0,415,0,1417,PASS
218,0,0,0,2,2,0,0,641,1032,FAIL
218,11,1,0,7,5,2,890,4667,5414,PASS
218,0,1,0,0,0,0,0,360,1120,FAIL
218,11,1,0,5,4,1,1913,2257,1299,FAIL
218,11,0,0,4,4,0,1464,1066,921,FAIL
218,0,1,0,2,2,0,0,504,865,FAIL
218,10,1,0,6,5,1,831,1574,1828,PASS
218,0,0,0,0,0,0,0,129,0,FAIL
218,11,2,0,7,7,0,764,1687,2123,FAIL
218,11,1,0,8,7,1,503,4735,4413,PASS
218,10,0,0,2,2,0,870,1237,100,FAIL
218,10,0,0,6,5,1,332,1996,721,PASS
218,0,0,0,2,2,0,0,586,6,FAIL
218,11,1,0,5,5,0,721,1996,269,PASS
218,10,0,0,3,2,1,159,2404,1717,FAIL
218,11,0,0,5,3,2,250,3186,0,PASS
218,0,3,0,6,5,1,0,2040,6049,FAIL
218,11,2,0,6,6,0,533,2215,3215,PASS
218,11,0,0,3,3,0,809,0,1137,FAIL
218,11,1,0,9,6,3,1436,4588,6243,FAIL
218,0,0,0,0,0,0,0,213,0,PASS
218,0,0,0,0,0,0,0,0,0,FAIL
218,11,1,0,3,3,0,236,1212,1070,PASS
218,0,0,0,0,0,0,0,319,1139,FAIL
218,9,0,0,0,0,0,217,0,455,FAIL
218,0,0,0,3,2,1,120,1864,1114,FAIL
218,11,1,0,9,9,0,643,2433,1567,FAIL
218,11,1,0,9,8,1,62,3134,1778,PASS
218,0,0,0,2,1,1,0,1932,0,FAIL
218,0,0,0,0,0,0,0,0,155,FAIL
218,10,2,0,6,6,0,1272,2493,0,FAIL
218,10,1,0,3,3,0,292,1098,367,PASS
218,11,0,0,6,5,1,966,2282,1036,FAIL
218,11,0,0,5,5,0,2160,2566,1198,FAIL
218,11,0,0,4,3,1,332,1330,568,PASS
218,11,1,0,8,8,0,987,2606,0,PASS
218,10,0,0,2,2,0,599,700,2180,FAIL
218,11,0,0,4,4,0,294,1345,909,PASS
218,0,4,0,6,5,1,0,2237,2800,FAIL
218,0,0,0,4,4,0,0,2422,2671,FAIL
218,10,1,0,5,4,1,212,1537,2149,FAIL
218,0,0,0,0,0,0,0,0,307,FAIL
218,7,2,0,0,0,0,1162,251,524,FAIL
218,11,0,0,9,9,0,294,2449,314,PASS
218,0,0,0,0,0,0,0,392,449,FAIL
218,10,2,0,3,2,1,675,2030,3541,FAIL
218,11,2,0,4,3,1,794,1345,3091,FAIL
218,11,0,0,7,6,1,264,2469,2010,PASS
218,10,0,0,6,6,0,504,1692,4,PASS
218,11,0,0,2,2,0,535,1191,1461,FAIL
218,0,0,0,0,0,0,0,352,863,FAIL
218,11,6,0,6,6,0,398,2049,3042,PASS
218,0,0,0,0,0,0,0,133,201,FAIL
218,10,0,0,5,1,4,130,1870,107,FAIL
218,11,1,0,7,7,0,587,1843,2859,PASS
218,11,1,0,7,6,1,1213,3118,0,PASS
218,11,0,0,8,5,3,659,2141,844,FAIL
218,0,0,0,4,3,1,212,1279,660,FAIL
218,10,0,0,2,2,0,338,601,937,FAIL
218,11,3,0,9,7,2,374,4601,4826,FAIL
218,11,0,0,5,1,4,754,0,1378,FAIL
218,0,0,0,1,0,1,0,770,258,FAIL
218,9,0,0,0,0,0,856,203,1365,FAIL
218,0,0,0,0,0,0,0,34,633,FAIL
218,11,0,0,4,4,0,787,1255,1636,FAIL
218,0,0,0,1,0,1,0,684,243,FAIL
218,10,0,0,1,1,0,828,229,255,FAIL
218,10,1,0,3,2,1,332,1897,2144,FAIL
218,0,0,0,4,2,2,0,3126,480,FAIL
218,11,1,0,7,7,0,259,2324,1982,PASS
218,11,0,0,2,1,1,424,1623,2279,PASS
218,11,0,0,3,3,0,2035,1399,693,FAIL
218,0,2,0,0,0,0,0,0,998,PASS
218,11,1,0,7,7,0,337,2496,2214,PASS
218,10,0,0,6,6,0,416,2104,1494,FAIL
218,11,0,0,5,5,0,1612,2003,1218,FAIL
218,0,0,0,0,0,0,84,354,1306,FAIL
218,10,0,0,5,3,2,750,2162,950,PASS
218,11,1,0,7,6,1,217,2713,0,FAIL
