course,n_assignment,n_posts,n_read,n_quiz,n_quiz_a,n_quiz_s,total_time_assignment,total_time_quiz,total_time_forum,mark
29,0,0,7,0,0,0,0,0,5179,FAIL
29,0,0,0,0,0,0,0,0,1017,FAIL
29,1,2,0,0,0,0,0,0,357,FAIL
29,0,0,0,0,0,0,0,0,683,FAIL
29,0,0,0,0,0,0,0,0,124,FAIL
29,1,0,0,0,0,0,0,0,545,PASS
29,1,0,0,0,0,0,120,0,0,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,0,1,1,0,0,0,0,0,1213,FAIL
29,0,0,0,0,0,0,0,0,555,FAIL
29,1,0,0,0,0,0,139,0,71,FAIL
29,0,0,0,0,0,0,0,0,15,FAIL
29,2,1,0,0,0,0,177,0,1371,FAIL
29,1,1,0,0,0,0,0,0,758,FAIL
29,1,0,0,0,0,0,17,0,99,PASS
29,0,0,0,0,0,0,0,0,310,FAIL
29,1,0,0,0,0,0,0,0,168,FAIL
29,1,0,0,0,0,0,0,0,10341,FAIL
29,1,0,0,0,0,0,0,0,0,FAIL
29,0,0,0,0,0,0,0,0,293,FAIL
29,1,0,0,0,0,0,0,0,735,FAIL
29,0,0,0,0,0,0,0,0,404,FAIL
29,1,0,0,0,0,0,93,0,2531,FAIL
29,2,1,0,0,0,0,398,0,3782,PASS
29,0,0,0,0,0,0,0,0,1112,FAIL
29,1,0,0,0,0,0,19,0,161,FAIL
29,0,0,0,0,0,0,0,0,0,PASS
29,0,0,0,0,0,0,0,0,213,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,1,0,0,0,0,0,0,0,541,FAIL
29,1,1,0,0,0,0,246,0,1137,PASS
29,2,1,0,0,0,0,169,0,2699,FAIL
29,0,0,0,0,0,0,0,0,141,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,0,2,0,0,0,0,0,0,1274,FAIL
29,0,0,0,0,0,0,0,0,136,FAIL
29,0,0,0,0,0,0,0,0,319,FAIL
29,2,0,0,0,0,0,143,0,1463,FAIL
29,1,0,0,0,0,0,0,0,13,FAIL
29,0,0,0,0,0,0,0,0,360,FAIL
29,3,1,0,0,0,0,279,0,2512,FAIL
29,0,0,0,0,0,0,0,0,179,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,1,2,0,0,0,0,14,0,1547,PASS
29,2,1,0,0,0,0,1639,0,1452,FAIL
29,1,0,0,0,0,0,281,0,3258,FAIL
29,0,0,0,0,0,0,0,0,14711,FAIL
29,1,0,0,0,0,0,4,0,518,FAIL
29,1,3,0,0,0,0,0,0,1053,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,3,1,0,0,0,0,269,0,2310,FAIL
29,0,0,0,0,0,0,0,0,286,FAIL
29,0,0,0,0,0,0,0,0,772,FAIL
29,0,0,0,0,0,0,0,0,120,FAIL
29,1,0,0,0,0,0,194,0,1937,PASS
29,1,2,0,0,0,0,0,0,1869,PASS
29,0,0,0,0,0,0,0,0,163,FAIL
29,0,10,0,0,0,0,0,0,3595,FAIL
29,0,3,0,0,0,0,0,0,1985,FAIL
29,1,3,0,0,0,0,0,0,1107,FAIL
29,1,2,0,0,0,0,204,0,2159,FAIL
29,1,0,0,0,0,0,0,0,245,FAIL
29,0,0,0,0,0,0,0,0,0,FAIL
29,0,0,0,0,0,0,0,0,18,FAIL
29,1,0,0,0,0,0,0,0,268,FAIL
