course,n_assignment,n_posts,n_read,n_quiz,n_quiz_a,n_quiz_s,total_time_assignment,total_time_quiz,total_time_forum,mark
94,0,0,4,0,0,0,0,126,688,FAIL
94,0,0,4,0,0,0,0,203,961,FAIL
94,2,0,0,1,1,0,0,333,527,PASS
94,0,2,4,0,0,0,0,0,478,FAIL
94,2,0,4,2,2,0,120,497,262,PASS
94,1,0,4,5,3,2,7,2338,394,FAIL
94,2,4,4,5,5,0,544,2090,4370,PASS
94,1,0,4,1,0,1,0,523,182,FAIL
94,2,0,4,3,3,0,21,1633,66,PASS
94,2,0,4,3,1,2,65,1248,308,PASS
94,2,1,4,4,4,0,120,951,0,PASS
94,1,0,4,1,0,1,217,717,0,FAIL
94,2,0,4,3,3,0,178,1071,504,PASS
94,0,6,4,9,6,3,0,1774,5518,FAIL
94,2,0,4,13,13,0,605,2754,667,FAIL
94,2,0,4,4,4,0,266,1543,585,FAIL
94,2,0,4,8,7,1,120,1747,125,PASS
94,2,0,4,2,2,0,26,768,0,FAIL
94,2,1,4,15,15,0,15,2497,2822,FAIL
94,2,0,4,2,0,2,120,1330,0,FAIL
94,2,0,4,5,4,1,9,1059,178,PASS
94,0,1,4,0,0,0,0,126,2821,FAIL
94,2,0,4,3,3,0,0,1096,665,PASS
94,1,0,4,7,7,0,0,1473,186,PASS
94,2,0,4,16,16,0,185,2428,63,PASS
94,2,0,4,3,3,0,261,932,1059,PASS
94,2,0,4,6,6,0,73,1394,445,PASS
94,0,1,4,0,0,0,0,8,466,FAIL
94,2,0,4,6,6,0,120,1324,496,PASS
94,2,0,4,3,3,0,9,0,0,FAIL
94,2,1,4,18,18,0,121,4148,504,PASS
94,1,0,4,4,3,1,0,938,2374,FAIL
94,0,0,4,0,0,0,120,358,2748,PASS
94,2,0,4,1,0,1,182,274,925,PASS
94,1,0,4,2,1,1,601,1024,1171,FAIL
94,2,0,4,3,2,1,120,1026,515,PASS
94,2,0,4,3,3,0,5,925,1301,FAIL
94,2,0,4,4,3,1,29,698,136,PASS
94,2,0,4,10,10,0,120,1992,23,PASS
94,2,0,4,3,3,0,120,854,422,PASS
94,2,0,4,0,0,0,120,316,333,PASS
94,1,0,4,3,1,2,0,610,540,PASS
94,2,0,4,10,10,0,52,2837,100,PASS
94,2,0,4,7,7,0,120,1404,33,PASS
94,0,0,4,4,4,0,9,1346,198,FAIL
94,2,0,4,1,0,1,120,786,0,PASS
94,2,2,4,5,5,0,240,1353,1608,FAIL
94,2,0,4,12,11,1,120,2233,699,PASS
94,2,0,4,5,5,0,240,1262,524,FAIL
94,0,0,4,6,4,2,0,733,284,FAIL
94,2,0,4,14,14,0,120,2245,255,PASS
94,1,0,4,3,3,0,0,990,1045,FAIL
94,2,1,4,12,12,0,9,1999,1179,PASS
94,1,0,4,1,0,1,120,852,0,FAIL
94,0,0,4,0,0,0,0,208,120,FAIL
94,1,0,4,3,3,0,66,980,692,PASS
94,1,0,4,3,3,0,0,998,29,FAIL
94,1,0,4,3,2,1,0,1231,1701,FAIL
94,2,0,4,3,3,0,120,1256,985,PASS
94,0,0,4,0,0,0,0,131,21,FAIL
94,1,0,4,6,6,0,248,1408,81,PASS
94,2,0,4,3,3,0,120,1245,327,PASS
94,1,0,4,13,12,1,240,1860,375,FAIL
94,1,0,4,2,2,0,0,643,148,PASS
94,1,0,4,2,1,1,0,867,0,PASS
94,1,0,4,6,6,0,0,1064,87,PASS
